Sriracha,Buffalo,Steak,1/17/13 13:58
Raspberry,Sirloin Steak,Coffee,1/16/13 23:49
Raspberry,Soy sauce,Milk chocolate,1/17/13 07:14
Bacon,Strawberries,blueberries,1/17/13 12:26
Chocolate,Coffee,Peanut Butter,1/17/13 12:48
Balsamic Vinegar,Avocado,Burnt Cheese,1/17/13 12:48
Dark Chocolate,Coca-Cola,Milk Chocolate,1/17/13 13:53
iron ,gingersnaps,sea water ,1/17/13 14:38
Garlic,Aged Cheddar,Caramel,1/17/13 14:44
Garlic,sriracha,soy sauce,1/17/13 14:45
honey,prosciutto,vinegar,1/17/13 15:25
Vanilla,Butter,Onion,1/17/13 15:51
mint,chocolate,green tea,1/17/13 15:58
marinara,beef,pumpkin,1/17/13 15:58
butter,salt,flour,1/17/13 15:59
blackberry,chocolate,bacon,1/17/13 16:01
Chocolate,Root beer,Toffee,1/17/13 16:03
Coffee,Chocolate,Marijuana,1/17/13 16:04
Mushroom,Shallot,Tarragon,1/17/13 16:06
Raspberry,Curry ,Ginger,1/17/13 16:11
chocolate,peanut butter,,1/17/13 16:12
Vanilla,scallop,chocolate ,1/17/13 16:14
coffee,red meat,cheesecake,1/17/13 16:14
Vanilla,Chocolate Chunk,Double Fudge,1/17/13 16:14
Cheese,Caramel,Coffee,1/17/13 16:25
Onion,Peanut Butter,Lemon,1/17/13 16:26
Coffee,Peanut Butter,Chocolate,1/17/13 16:29
Water,Smoke,Chocolate,1/17/13 16:40
Lemonade,Peanut Butter,Cola,1/17/13 16:42
Sweet,Apple ,Caramel,1/17/13 16:48
parmesan,artichoke,chicken,1/17/13 16:54
Peppermint,Coffee,Strawberry,1/17/13 17:01
Curry,squash,cayenne pepper,1/17/13 17:08
Banana,jalapeno,Vanilla,1/17/13 17:16
milk caramel ,milk chocolate ,champagne,1/17/13 17:33
Sugar,Fat,Salt,1/17/13 17:49
Wintergreen,purple,orange,1/17/13 18:15
Mango,popcorn,strawberry,1/17/13 18:24
Dark Chocolate,Salt,Seared edge of steak,1/17/13 18:50
vanilla,raspberry,grapefruit,1/17/13 19:09
Salt,Lime,coffee,1/17/13 20:04
Orange,Tangy,Sweet,1/17/13 20:22
raspberry,curry,shrimp,1/17/13 20:39
Mango,Malt,Mustard,1/17/13 20:56
Chai,Meyer Lemon,Bacon,1/17/13 21:01
Blueberry,Watermelon,Wintergreen,1/17/13 21:15
Chai,Tuna,Teriyaki,1/17/13 23:40
Steak,Chocolate,Butter,1/18/13 07:15
Vanilla,Hot Sauce,Chocolate,1/18/13 13:13
chocolate,coconut,pomegranate,1/18/13 13:43
Caramel,Bacon,Buffalo Wings,1/18/13 13:45
garlic ,chocolate ,blood orange ,1/18/13 13:54
Pork,spicy,fishy,1/18/13 15:14
chocolate,wood,salty,1/18/13 15:26
White chocolate,strawberry,chocolate,1/18/13 15:47
Coffee,Vanilla,Almond,1/18/13 15:49
Watermelon,Strawberry,BBQ,1/18/13 17:36
Chocolate,Deep fried batter,Burnt meat,1/18/13 18:36
sorghum,lemongrass,chicory,1/18/13 18:46
Pepsi,BBQ,Watermelon,1/18/13 20:27
Cajun,Hickory,Smoky ,1/18/13 22:17
sour,lemon,curry,1/19/13 00:13
chocolate,strawberry,minister,1/19/13 01:03
Blue Cheese,Celery,Cherry,1/19/13 05:35
chocolate,peanut butter,maple,1/19/13 07:48
