CFS,DATE,NATURE CODE,ADDRESS,XCOORD,YCOORD,DOW
112010-290,11/20/2010  11:39:16 PM,MUSIC,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SAT
112110-4,11/21/2010  12:11:02 AM,SRN,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SUN
112110-1,11/21/2010  12:00:17 AM,PARTY,1700 SW EDGEING DR,7480440.0000 ,334056.7500 ,SUN
112110-7,11/21/2010  12:18:17 AM,MUSIC,3255 NW FILLMORE AV,7475918.0000 ,343894.0625 ,SUN
112110-5,11/21/2010  12:10:03 AM,PARTY,2656 NW TYLER AV,7477625.0000 ,342788.4063 ,SUN
112110-11,11/21/2010  12:24:33 AM,SRN,345 SW 11TH ST,7480169.5000 ,339562.2500 ,SUN
112110-24,11/21/2010  12:59:25 AM,PARTY,3203 NW FOXTAIL PL,7476369.0000 ,352384.4375 ,SUN
112110-40,11/21/2010  1:35:55 AM,MUSIC,1425 NW MONROE AV,7479711.5000 ,340748.5625 ,
112110-67,11/21/2010  3:23:21 AM,SRN,645 NW 4TH ST,7483200.0000 ,341596.6250 ,SUN
112210-10,11/22/2010  1:22:22 AM,SRN,340 SW 10TH ST,7480416.0000 ,339482.2813 ,MON
112410-2,11/24/2010  12:01:05 AM,SRN,2124 NW TYLER AV,7478694.5000 ,342674.6250 ,WED
112510-69,11/25/2010  11:17:05 AM,MUSIC,615 NW 5TH ST,7482888.5000 ,341596.6563 ,THU
112610-64,11/26/2010  12:47:11 PM,MUSIC,325 SE LILLY AV,7481794.0000 ,333662.2188 ,FRI
112710-4,11/27/2010  12:09:37 AM,MUSIC,1425 NW MONROE AV,7479711.5000 ,340748.5625 ,SAT
112710-118,11/27/2010  1:09:54 PM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,SAT
112710-244,11/27/2010  11:41:31 PM,MUSIC,2800 SE PARK PL,7482476.0000 ,330198.3438 ,SAT
112710-222,11/27/2010  10:15:58 PM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,SAT
112810-41,11/28/2010  8:53:28 AM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,SUN
112810-34,11/28/2010  7:37:59 AM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,SUN
120110-236,12/1/2010  11:38:04 PM,MUSIC,312 NW 25TH ST,7478052.0000 ,342014.0313 ,WED
120210-13,12/2/2010  12:56:50 AM,MUSIC,1425 NW MONROE AV,7479711.5000 ,340748.5625 ,THU
120210-14,12/2/2010  1:06:25 AM,MUSIC,2740 SW WESTERN BV,7476920.5000 ,337031.7500 ,THU
120210-98,12/2/2010  10:58:55 AM,MUSIC,615 NW 5TH ST,7482888.5000 ,341596.6563 ,THU
120310-23,12/3/2010  1:15:12 AM,PARTY,2730 SW MORRIS AV,7477322.5000 ,336595.7500 ,FRI
120310-249,12/3/2010  8:30:37 PM,SRN,410 NW 25TH ST,7478065.0000 ,342476.4688 ,FRI
120310-264,12/3/2010  9:56:34 PM,MUSIC,1112 NW CIRCLE BV,7482205.5000 ,348466.1563 ,FRI
120310-303,12/3/2010  11:53:29 PM,PARTY,317 SW 11TH ST,7480208.5000 ,339661.7813 ,FRI
120410-31,12/4/2010  1:19:37 AM,MUSIC,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SAT
120410-30,12/4/2010  1:17:22 AM,PARTY,2120 NW TYLER AV,7478701.0000 ,342673.6250 ,SAT
120410-55,12/4/2010  2:50:21 AM,MUSIC,3452 NE LANCASTER ST,7488124.0000 ,353264.6563 ,SAT
120410-339,12/4/2010  9:47:11 PM,PARTY,1313 NW FILLMORE AV,7480919.0000 ,343008.7500 ,SAT
120410-338,12/4/2010  9:44:26 PM,MUSIC,824 SW GROVE ST,7476786.0000 ,337503.0000 ,SAT
120510-12,12/5/2010  12:24:48 AM,SRN,330 SW 10TH ST,7480431.0000 ,339520.4063 ,SUN
120510-24,12/5/2010  12:52:25 AM,SRN,213 NW 21ST ST,7478726.0000 ,341511.5938 ,SUN
120510-16,12/5/2010  12:37:36 AM,PARTY,NW JACKSON AV AND NW 21ST ST,7478713.0000 ,341465.0000 ,SUN
120510-17,12/5/2010  12:41:22 AM,PARTY,318 NW 12TH ST,7480549.0000 ,341308.4688 ,SUN
120510-49,12/5/2010  1:55:01 AM,MUSIC,2740 NW ARNOLD WY,7477221.0000 ,342080.3125 ,SUN
120510-44,12/5/2010  1:47:31 AM,SRN,1313 NW FILLMORE AV,7480919.0000 ,343008.7500 ,SUN
120510-73,12/5/2010  3:42:02 AM,PARTY,221 NW 12TH ST,7480439.0000 ,340965.4375 ,SUN
120510-93,12/5/2010  8:32:15 AM,MUSIC,625 NW 5TH ST,7482903.5000 ,341634.5625 ,SUN
120610-224,12/6/2010  11:42:56 PM,MUSIC,2740 SW WESTERN BV,7476920.5000 ,337031.7500 ,TUE
120910-33,12/9/2010  3:18:39 AM,PARTY,329 SW 10TH ST,7480452.5000 ,339516.1563 ,THU
120910-207,12/9/2010  10:42:11 PM,PARTY,600 NW 23RD ST,7478402.0000 ,343079.5000 ,THU
120910-214,12/9/2010  11:06:48 PM,PARTY,NW 23RD ST AND NW JACKSON AV,7478386.0000 ,341560.0000 ,THU
121010-30,12/10/2010  2:18:54 AM,MUSIC,219 NW 15TH ST,7479691.5000 ,341252.9688 ,FRI
121010-286,12/10/2010  10:47:23 PM,MUSIC,6400 NW OAK CREEK DR,7466096.0000 ,344381.2188 ,FRI
121110-5,12/11/2010  12:19:14 AM,PARTY,334 NW 14TH ST,7480096.0000 ,341556.3750 ,SAT
121110-12,12/11/2010  12:43:37 AM,PARTY,430 NW 13TH ST,7480469.0000 ,341794.9688 ,SAT
121110-225,12/11/2010  11:03:59 PM,SRN,727 SW 5TH ST,7481242.0000 ,337560.2500 ,SAT
121310-224,12/13/2010  11:05:15 PM,MUSIC,4016 NW WITHAM HILL DR,7473491.0000 ,346613.5000 ,MON
121410-20,12/14/2010  2:04:42 AM,MUSIC,1800 NW POLK AV,7479471.0000 ,342817.5313 ,TUE
071113-190,7/11/2013  7:06:09 PM,MUSIC,326 NW KINGS BV,7479041.5000 ,341941.1250 ,THU
121610-225,12/16/2010  10:28:53 PM,MUSIC,SE MIDVALE DR AND SE BAYSHORE CR,7482762.0000 ,326952.0000 ,THU
121710-5,12/17/2010  12:26:24 AM,PARTY,810 NW 23RD ST,7478415.0000 ,343833.5938 ,FRI
121810-52,12/18/2010  10:21:32 AM,MUSIC,2464 NW GARRYANNA DR,7480986.5000 ,350081.8125 ,SAT
121810-198,12/18/2010  10:45:14 PM,MUSIC,929 NW SEQUOIA AV,7484281.0000 ,349311.5000 ,SAT
121910-17,12/19/2010  1:26:28 AM,PARTY,335 SW 4TH ST,7482079.5000 ,338841.1563 ,SUN
121910-67,12/19/2010  11:07:44 AM,MUSIC,625 NW 5TH ST,7482903.5000 ,341634.5625 ,SUN
122010-194,12/20/2010  11:20:18 PM,MUSIC,620 NW 21ST ST,7478731.5000 ,343103.5313 ,MON
122310-1,12/23/2010  12:01:57 AM,PARTY,1849 SW 49TH ST,7470539.0000 ,333809.9688 ,THU
122310-68,12/23/2010  11:04:53 AM,MUSIC,615 NW WALNUT BV,7484363.5000 ,350350.8750 ,THU
122510-10,12/25/2010  2:05:08 AM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,SAT
123010-228,12/30/2010  10:13:49 PM,MUSIC,NE LANCASTER ST AND NE OXFORD CR,7487985.0000 ,352998.0000 ,THU
123010-253,12/30/2010  11:48:32 PM,MUSIC,750 NW 5TH ST,7483057.5000 ,342066.2188 ,THU
123110-244,12/31/2010  9:21:14 PM,MUSIC,105 SW 2ND ST,7482957.0000 ,339441.5000 ,FRI
010111-33,1/1/2011  1:07:05 AM,PARTY,2535 NW TAYLOR AV,7477993.5000 ,343469.6250 ,SAT
010111-35,1/1/2011  1:14:50 AM,PARTY,345 SE LILLY AV,7481835.0000 ,333661.0000 ,SAT
010111-57,1/1/2011  3:48:32 AM,MUSIC,4892 SW ROSEBERRY ST,7470566.5000 ,333575.0000 ,SAT
010211-13,1/2/2011  12:58:47 AM,SRN,2535 NW TAYLOR AV,7477993.5000 ,343469.6250 ,SUN
010611-260,1/6/2011  10:16:56 PM,PARTY,326 NW 14TH ST,7480084.5000 ,341526.5938 ,THU
010611-266,1/6/2011  10:42:23 PM,MUSIC,3205 NW GRANT AV,7476078.0000 ,345048.4063 ,THU
010611-280,1/6/2011  11:42:00 PM,PARTY,1300 SW E AV,7479812.0000 ,337089.4375 ,THU
010711-27,1/7/2011  3:21:03 AM,SRN,837 SW 15TH ST,7479223.5000 ,337940.7188 ,FRI
010711-28,1/7/2011  3:49:13 AM,PARTY,336 NW 14TH ST,7480099.0000 ,341563.8750 ,FRI
010811-5,1/8/2011  12:25:20 AM,PARTY,3073 SE STERNWHEELER DR,7483717.0000 ,328765.9688 ,SAT
010811-182,1/8/2011  9:56:45 PM,MUSIC,317 SE LILLY AV,7481777.5000 ,333663.0938 ,SAT
010811-194,1/8/2011  10:46:54 PM,PARTY,852 SW MAPLE TREE DR,7479522.0000 ,337943.8750 ,SAT
010811-199,1/8/2011  11:03:31 PM,PARTY,NW 33RD ST AND NW FILLMORE AV,7475800.0000 ,343888.0000 ,
010811-202,1/8/2011  11:07:17 PM,SRN,306 SW 7TH ST,7481274.5000 ,339275.0938 ,SAT
010811-212,1/8/2011  11:45:23 PM,SRN,3255 NW FILLMORE AV,7475918.0000 ,343894.0625 ,SAT
010811-209,1/8/2011  11:31:24 PM,PARTY,1218 NW 23RD ST,7478487.0000 ,344987.8750 ,SAT
010911-9,1/9/2011  12:22:43 AM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SUN
010811-215,1/8/2011  11:53:21 PM,PARTY,1300 SW E AV,7479812.0000 ,337089.4375 ,SUN
010911-5,1/9/2011  12:16:16 AM,SRN,975 NW CLEVELAND AV,7482880.5000 ,347429.1875 ,SUN
010911-48,1/9/2011  3:25:37 AM,MUSIC,837 SW 15TH ST,7479223.5000 ,337940.7188 ,SUN
010911-44,1/9/2011  3:06:05 AM,SRN,1313 NW FILLMORE AV,7480919.0000 ,343008.7500 ,SUN
011011-142,1/10/2011  4:01:42 PM,MUSIC,2150 NW 17TH ST,7479878.5000 ,348315.2500 ,MON
011011-200,1/10/2011  11:35:18 PM,SRN,635 NW 23RD ST,7478425.5000 ,343193.8125 ,MON
011111-201,1/11/2011  11:18:45 PM,PARTY,1209 SW 26TH ST,7477754.5000 ,336589.9063 ,TUE
011311-206,1/13/2011  9:07:06 PM,PARTY,2709 NW FILLMORE AV,7477524.0000 ,343824.6563 ,THU
011311-229,1/13/2011  10:41:06 PM,MUSIC,SW 2ND ST AND SW MADISON AV,7482809.0000 ,339109.0000 ,THU
011411-270,1/14/2011  10:18:43 PM,MUSIC,221 NW 12TH ST,7480439.0000 ,340965.4375 ,FRI
011411-276,1/14/2011  10:37:11 PM,PARTY,220 NW 15TH ST,7479715.0000 ,341252.0313 ,FRI
011411-274,1/14/2011  10:31:32 PM,MUSIC,SW 2ND ST AND SW MADISON AV,7482809.0000 ,339109.0000 ,FRI
011411-281,1/14/2011  11:08:16 PM,SRN,695 NW 23RD ST,7478432.0000 ,343395.7188 ,FRI
011411-296,1/14/2011  11:51:38 PM,PARTY,2645 NW TAYLOR AV,7477686.5000 ,343483.7813 ,FRI
011511-6,1/15/2011  12:05:00 AM,MUSIC,950 NW HAYES AV,7482959.5000 ,345818.7500 ,SAT
011511-43,1/15/2011  2:01:21 AM,PARTY,518 NW 14TH ST,7480343.5000 ,342189.3125 ,SAT
011511-36,1/15/2011  1:41:20 AM,PARTY,450 SE LILLY AV,7482054.5000 ,333632.2813 ,SAT
011511-232,1/15/2011  11:24:02 PM,SRN,2099 NW TAYLOR AV,7478759.5000 ,343385.7500 ,SAT
011611-10,1/16/2011  12:43:08 AM,PARTY,3025 NW ORCHARD AV,7476485.0000 ,341088.2813 ,SUN
011611-7,1/16/2011  12:28:08 AM,SRN,803 SW 8TH ST,7480563.5000 ,338171.2813 ,SUN
011611-16,1/16/2011  12:57:29 AM,MUSIC,3930 NW WITHAM HILL DR,7473845.5000 ,346185.7813 ,SUN
011611-33,1/16/2011  1:57:08 AM,PARTY,620 NW 21ST ST,7478731.5000 ,343103.5313 ,SUN
011611-49,1/16/2011  3:19:29 AM,PARTY,555 NW WALNUT BV,7484645.5000 ,350348.5938 ,SUN
011611-52,1/16/2011  4:11:35 AM,PARTY,2111 NW HARRISON BV,7478707.0000 ,342322.1563 ,SUN
011611-195,1/16/2011  10:27:02 PM,PARTY,611 NW 23RD ST,7478425.0000 ,343115.4375 ,SUN
011611-206,1/16/2011  11:28:40 PM,PARTY,605 NW 23RD ST,7478425.5000 ,343097.1875 ,SUN
011611-209,1/16/2011  11:37:07 PM,MUSIC,699 NW 23RD ST,(1.0000),(1.0000),SUN
011611-207,1/16/2011  11:33:16 PM,PARTY,3200 SE MIDVALE DR,7483405.0000 ,328233.0313 ,SUN
011611-210,1/16/2011  11:38:13 PM,PARTY,1510 NW 13TH ST,7481281.5000 ,345948.4688 ,SUN
011711-2,1/17/2011  12:03:49 AM,SRN,1544 NW 12TH ST,7481893.5000 ,346086.5625 ,MON
011711-12,1/17/2011  1:31:16 AM,SRN,350 SE LILLY AV,7481837.5000 ,333639.0000 ,MON
011711-20,1/17/2011  2:27:46 AM,PARTY,NW 9TH ST AND NW VAN BUREN AV,7481322.0000 ,340918.0000 ,MON
011811-130,1/18/2011  3:44:46 PM,MUSIC,2615 SW 49TH ST,7470447.5000 ,330973.1563 ,TUE
011911-2,1/19/2011  12:10:05 AM,MUSIC,319 NW 15TH ST,7479826.5000 ,341591.4375 ,WED
012011-212,1/20/2011  8:34:17 PM,MUSIC,3340 NE OXFORD CR,7488425.0000 ,353227.1563 ,THU
012111-29,1/21/2011  1:50:32 AM,SRN,1375 SW A AV,7479500.5000 ,338454.3125 ,FRI
012111-33,1/21/2011  3:10:16 AM,MUSIC,785 NW 5TH ST,7483126.5000 ,342176.1250 ,FRI
012111-42,1/21/2011  5:05:39 AM,MUSIC,1000 NW FILLMORE AV,7481665.5000 ,342687.7188 ,FRI
012111-258,1/21/2011  10:39:22 PM,SRN,1020 NW FILLMORE AV,7481628.5000 ,342707.1250 ,FRI
012111-266,1/21/2011  11:01:46 PM,PARTY,NW 23RD ST AND NW POLK AV,7478413.0000 ,343076.0000 ,FRI
012111-262,1/21/2011  11:00:01 PM,SRN,513 NW 30TH ST,7476608.0000 ,342873.0000 ,FRI
012111-276,1/21/2011  11:35:20 PM,PARTY,825 NW 23RD ST,7478437.5000 ,343844.0313 ,FRI
012111-283,1/21/2011  11:57:30 PM,SRN,1029 NW 26TH ST,7477856.0000 ,344455.0313 ,SAT
012111-282,1/21/2011  11:55:45 PM,SRN,806 SW WESTERN BV,7480533.0000 ,338168.6250 ,FRI
012111-285,1/21/2011  11:57:33 PM,SRN,355 SW 10TH ST,7480414.5000 ,339422.0625 ,SAT
012211-3,1/22/2011  12:03:42 AM,MUSIC,334 NW KINGS BV,7479044.0000 ,341967.7188 ,SAT
012211-16,1/22/2011  12:36:11 AM,SRN,825 NW 23RD ST,7478437.5000 ,343844.0313 ,SAT
012211-30,1/22/2011  1:51:53 AM,MUSIC,620 NW 21ST ST,7478731.5000 ,343103.5313 ,SAT
012211-246,1/22/2011  10:31:29 PM,SRN,413 NW 27TH ST,7477512.0000 ,342501.0625 ,SAT
012211-272,1/22/2011  11:23:25 PM,SRN,2835 SW WESTERN BV,7476847.5000 ,337051.7188 ,SAT
012211-279,1/22/2011  11:37:03 PM,SRN,310 SW 7TH ST,7481272.0000 ,339265.5625 ,SAT
012311-9,1/23/2011  12:14:06 AM,PARTY,205 NW 12TH ST,7480416.0000 ,340910.4063 ,SUN
012311-10,1/23/2011  12:14:32 AM,SRN,2650 NE LANCASTER ST,7487109.0000 ,350133.0313 ,SUN
012311-16,1/23/2011  12:24:05 AM,SRN,213 NW 21ST ST,7478726.0000 ,341511.5938 ,SUN
012311-18,1/23/2011  12:29:30 AM,PARTY,604 SW 7TH ST,7480833.0000 ,338201.2813 ,SUN
012311-19,1/23/2011  12:33:21 AM,SRN,963 NW JACKSON AV,7481009.0000 ,340653.8438 ,SUN
012311-31,1/23/2011  1:11:13 AM,SRN,1530 NW KINGS BV,7478969.5000 ,346131.2188 ,SUN
012311-30,1/23/2011  1:09:13 AM,SRN,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SUN
012311-47,1/23/2011  2:06:49 AM,SRN,NW 16TH ST AND NW JACKSON AV,7479439.0000 ,341283.0000 ,SUN
012311-69,1/23/2011  2:52:41 AM,MUSIC,332 NW 14TH ST,7480093.0000 ,341548.8750 ,SUN
012311-71,1/23/2011  3:03:55 AM,SRN,2701 NW FILLMORE AV,7477535.0000 ,343828.6563 ,SUN
012411-14,1/24/2011  2:16:35 AM,MUSIC,1000 NW FILLMORE AV,7481665.5000 ,342687.7188 ,MON
012411-225,1/24/2011  11:53:47 PM,SRN,6300 SW GRAND OAKS DR,7466173.0000 ,337742.3750 ,MON
012711-7,1/27/2011  12:30:47 AM,MUSIC,929 NW SEQUOIA AV,7484281.0000 ,349311.5000 ,THU
012811-19,1/28/2011  1:59:21 AM,MUSIC,330 NW 14TH ST,7480090.5000 ,341541.3750 ,FRI
012811-30,1/28/2011  4:17:32 AM,MUSIC,334 NW 14TH ST,7480096.0000 ,341556.3750 ,FRI
012811-205,1/28/2011  10:25:14 PM,PARTY,765 NW 5TH ST,7483098.0000 ,342108.5313 ,FRI
012811-215,1/28/2011  11:21:08 PM,PARTY,2677 NW ARNOLD WY,7477471.5000 ,341804.6875 ,FRI
012811-219,1/28/2011  11:48:12 PM,SRN,NW 23RD ST AND NW JACKSON AV,7478386.0000 ,341560.0000 ,FRI
012811-221,1/28/2011  11:54:06 PM,PARTY,354 NW 25TH ST,7478055.5000 ,342221.5313 ,SAT
012911-3,1/29/2011  12:16:28 AM,SRN,527 NW 21ST ST,7478747.0000 ,342772.7500 ,SAT
012911-6,1/29/2011  12:29:42 AM,PARTY,620 NW 21ST ST,7478731.5000 ,343103.5313 ,SAT
012911-36,1/29/2011  3:58:15 AM,PARTY,435 NW KINGS BV,7479071.0000 ,342364.8750 ,SAT
012911-247,1/29/2011  10:49:26 PM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SAT
012911-248,1/29/2011  10:50:19 PM,PARTY,1313 NW FILLMORE AV,7480919.0000 ,343008.7500 ,SAT
013011-1,1/30/2011  12:07:50 AM,PARTY,1313 NW FILLMORE AV,7480919.0000 ,343008.7500 ,SUN
013011-11,1/30/2011  12:59:17 AM,SRN,1463 NW VAN BUREN AV,7479906.0000 ,341501.5000 ,SUN
013011-21,1/30/2011  1:37:53 AM,MUSIC,958 NW SYCAMORE AV,7483348.5000 ,348894.5000 ,SUN
013011-89,1/30/2011  12:07:03 PM,MUSIC,445 SW TUNISON AV,7480154.0000 ,332012.0000 ,SUN
013111-190,1/31/2011  10:26:19 PM,MUSIC,2740 SW WESTERN BV,7476920.5000 ,337031.7500 ,MON
020311-219,2/3/2011  5:51:36 PM,MUSIC,928 NW SYCAMORE AV,7484098.0000 ,348906.0000 ,THU
020311-285,2/3/2011  11:01:15 PM,SRN,2215 NW JACKSON AV,7478530.0000 ,341532.5313 ,THU
020311-306,2/3/2011  11:55:07 PM,SRN,635 NW 23RD ST,7478425.5000 ,343193.8125 ,FRI
020411-250,2/4/2011  10:48:15 PM,PARTY,105 SW 2ND ST,7482957.0000 ,339441.5000 ,FRI
020411-266,2/4/2011  11:29:24 PM,SRN,653 NW 23RD ST,7478426.5000 ,343254.5938 ,FRI
020411-269,2/4/2011  11:42:43 PM,PARTY,545 NW 16TH ST,7479914.5000 ,342460.2500 ,FRI
020411-271,2/4/2011  11:47:56 PM,SRN,226 NW 30TH ST,7476559.0000 ,341847.5625 ,FRI
020511-9,2/5/2011  12:44:07 AM,PARTY,939 SW E AV,7480391.0000 ,337081.5313 ,SAT
020511-220,2/5/2011  8:08:00 PM,SRN,1170 SW POPLAR PL,7476015.0000 ,336471.0625 ,SAT
020511-260,2/5/2011  10:34:30 PM,MUSIC,365 SW TUNISON AV,7480265.0000 ,332011.9063 ,SAT
020511-273,2/5/2011  11:07:14 PM,PARTY,NW 23RD ST AND NW HARRISON BV,7478399.0000 ,342372.0000 ,SAT
020511-276,2/5/2011  11:13:37 PM,PARTY,3238 NW GARFIELD AV,7476130.0000 ,346365.2813 ,SAT
020611-6,2/6/2011  12:20:13 AM,PARTY,537 NW 12TH ST,7480863.0000 ,342052.5625 ,SUN
020611-8,2/6/2011  12:23:53 AM,PARTY,1225 NW BUCHANAN AV,7481498.0000 ,343906.1250 ,SUN
020611-35,2/6/2011  1:54:04 AM,PARTY,332 SW 10TH ST,7480428.0000 ,339512.7813 ,SUN
020611-9,2/6/2011  12:27:04 AM,PARTY,529 NW 12TH ST,7480853.0000 ,342026.0938 ,SUN
020711-9,2/7/2011  1:07:39 AM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,MON
020811-17,2/8/2011  1:36:45 AM,MUSIC,958 NW SYCAMORE AV,7483348.5000 ,348894.5000 ,TUE
020811-10,2/8/2011  1:16:07 AM,PARTY,270 NE CONIFER BV,7487115.5000 ,352195.4375 ,TUE
020811-215,2/8/2011  7:05:55 PM,SRN,2728 NW VAN BUREN AV,7477174.5000 ,342099.8125 ,TUE
020811-262,2/8/2011  11:41:35 PM,MUSIC,1209 SW 26TH ST,7477754.5000 ,336589.9063 ,TUE
021011-215,2/10/2011  5:37:12 PM,MUSIC,428 NW 16TH ST,7479740.0000 ,342075.8438 ,THU
021011-151,2/10/2011  2:19:29 PM,MUSIC,545 SE ALEXANDER AV,7482125.5000 ,332620.8438 ,THU
021011-244,2/10/2011  7:56:04 PM,MUSIC,735 SE NATLAND PL,7482463.0000 ,328470.0000 ,THU
021011-261,2/10/2011  10:19:09 PM,SRN,699 NW 23RD ST,7478437.0000 ,343397.1563 ,THU
021011-276,2/10/2011  11:16:13 PM,PARTY,2600 NW TAYLOR AV,7477805.0000 ,343457.0938 ,THU
021011-279,2/10/2011  11:28:23 PM,SRN,2535 NW TAYLOR AV,7477993.5000 ,343469.6250 ,THU
021211-8,2/12/2011  12:15:59 AM,SRN,3558 NW FILLMORE AV,7475109.0000 ,343906.7500 ,SAT
021211-30,2/12/2011  2:08:08 AM,MUSIC,NW 14TH ST AND NW MONROE AV,7479772.0000 ,340714.0000 ,SAT
021211-208,2/12/2011  11:58:28 PM,PARTY,1343 SW E AV,7479682.5000 ,337130.0000 ,SAT
021311-1,2/13/2011  12:01:56 AM,PARTY,939 SW 13TH ST,7479784.5000 ,337607.4688 ,SUN
021311-4,2/13/2011  12:12:17 AM,SRN,2501 NW GRANT AV,7478120.0000 ,344945.0000 ,SUN
021311-128,2/13/2011  3:46:43 PM,MUSIC,2025 NW CIRCLE BV,7479328.5000 ,347729.4688 ,SUN
021411-7,2/14/2011  3:13:59 AM,MUSIC,1460 SW A AV,7479279.5000 ,338411.5313 ,MON
021611-11,2/16/2011  12:44:11 AM,PARTY,2058 NW TAYLOR AV,7478880.0000 ,343349.2188 ,WED
021711-261,2/17/2011  10:47:02 PM,SRN,125 NW 14TH ST,7479820.5000 ,340800.9688 ,THU
021711-264,2/17/2011  10:57:10 PM,MUSIC,900 SW GROVE ST,7476781.5000 ,337301.9063 ,THU
021711-270,2/17/2011  11:27:18 PM,SRN,750 NW 21ST ST,7478740.0000 ,343565.4688 ,THU
021711-275,2/17/2011  11:50:25 PM,MUSIC,2740 SW WESTERN BV,7476920.5000 ,337031.7500 ,FRI
021811-8,2/18/2011  12:30:03 AM,PARTY,327 NW 13TH ST,7480346.5000 ,341420.5313 ,FRI
021811-12,2/18/2011  1:10:16 AM,PARTY,3512 NW FILLMORE AV,7475235.5000 ,343900.1563 ,FRI
021811-22,2/18/2011  3:21:21 AM,MUSIC,121 NW 21ST ST,7478719.5000 ,341189.1875 ,FRI
021811-225,2/18/2011  11:30:49 PM,PARTY,1554 NW VAN BUREN AV,7479676.0000 ,341570.5000 ,FRI
021911-158,2/19/2011  5:32:46 PM,MUSIC,857 NW OAK AV,7483531.0000 ,350049.1250 ,SAT
021911-217,2/19/2011  9:56:11 PM,SRN,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SAT
021911-250,2/19/2011  11:20:32 PM,PARTY,623 NW 21ST ST,7478754.0000 ,343108.4688 ,SAT
021911-258,2/19/2011  11:49:42 PM,PARTY,635 NW 21ST ST,7478755.0000 ,343149.7813 ,SAT
021911-261,2/19/2011  11:53:20 PM,SRN,647 NW 21ST ST,7478756.0000 ,343188.2813 ,SAT
021911-254,2/19/2011  11:29:53 PM,PARTY,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SUN
021911-262,2/19/2011  11:54:07 PM,SRN,963 NW ANJNI CR,7483123.5000 ,350767.6250 ,SUN
022011-11,2/20/2011  12:42:08 AM,PARTY,119 NW 26TH ST,7477773.0000 ,341481.8438 ,SUN
022011-30,2/20/2011  1:46:50 AM,PARTY,861 SW ADAMS AV,7480723.5000 ,339127.4375 ,SUN
022011-70,2/20/2011  4:16:57 AM,PARTY,340 SE LILLY AV [CORVALLIS],7481817.0000 ,333639.0000 ,SUN
022411-235,2/24/2011  10:39:54 PM,SRN,695 NW 23RD ST,7478432.0000 ,343395.7188 ,THU
022411-239,2/24/2011  10:46:09 PM,SRN,513 NW 30TH ST,7476608.0000 ,342873.0000 ,THU
022411-247,2/24/2011  11:19:31 PM,PARTY,513 NW 30TH ST,7476608.0000 ,342873.0000 ,THU
022511-19,2/25/2011  1:27:46 AM,PARTY,635 NW 14TH ST,7480510.5000 ,342552.8750 ,FRI
022511-42,2/25/2011  3:29:53 AM,PARTY,2950 NW TYLER AV,7476757.5000 ,342817.1563 ,FRI
022511-360,2/25/2011  10:55:54 PM,PARTY,NW 36TH ST AND NW POLK AV,7474988.0000 ,343226.0000 ,FRI
022511-365,2/25/2011  11:18:14 PM,SRN,535 NW 36TH ST,7474994.0000 ,342994.6250 ,FRI
022611-41,2/26/2011  4:20:31 AM,SRN,2532 NW COOLIDGE WY,7478009.0000 ,344134.4688 ,SAT
022611-82,2/26/2011  11:26:53 AM,MUSIC,2712 SW PICKFORD ST,7480106.0000 ,330504.9063 ,SAT
022611-196,2/26/2011  7:58:22 PM,SRN,5902 NW FAIR OAKS PL,7467944.0000 ,349062.6875 ,SAT
022611-267,2/26/2011  11:06:38 PM,SRN,4125 SW WESTERN BV,7472854.5000 ,336563.9063 ,SAT
022611-273,2/26/2011  11:21:20 PM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SAT
022711-51,2/27/2011  2:05:09 AM,PARTY,330 SW CUMMINGS AV,7480583.0000 ,334059.3438 ,SUN
022711-215,2/27/2011  10:07:01 PM,MUSIC,221 NW 12TH ST,7480439.0000 ,340965.4375 ,SUN
030311-232,3/3/2011  8:17:42 PM,SRN,363 SW B AV,7481652.0000 ,337519.5938 ,THU
030411-2,3/4/2011  12:04:16 AM,PARTY,1460 SW A AV,7479279.5000 ,338411.5313 ,FRI
030411-241,3/4/2011  11:50:02 PM,SRN,2835 SW WESTERN BV,7476847.5000 ,337051.7188 ,SAT
030511-11,3/5/2011  1:09:13 AM,PARTY,340 SW 10TH ST,7480416.0000 ,339482.2813 ,SAT
030511-19,3/5/2011  1:27:31 AM,SRN,365 SW 11TH ST,7480138.5000 ,339487.9063 ,SAT
030511-38,3/5/2011  2:49:39 AM,PARTY,325 NW 2ND ST,7483289.0000 ,340253.1250 ,SAT
