CFS,DATE,NATURE CODE,ADDRESS,XCOORD,YCOORD,DOW
012310-220,1/23/2010  10:00:15 PM,PARTY,4893 SW ROSEBERRY ST,7470567.5000 ,333597.0000 ,SAT
012310-242,1/23/2010  11:06:16 PM,PARTY,230 SW TWIN OAKS CR,7481168.5000 ,335887.5938 ,SAT
012310-256,1/23/2010  11:49:59 PM,SRN,619 NW 18TH ST,7479522.0000 ,342882.8750 ,SAT
012410-1,1/24/2010  12:03:51 AM,PARTY,3558 NW FILLMORE AV,7475109.0000 ,343906.7500 ,SUN
012410-7,1/24/2010  12:18:42 AM,SRN,329 NW 21ST ST,7478732.5000 ,341961.8125 ,SUN
012410-9,1/24/2010  12:31:06 AM,PARTY,1420 NW 20TH ST,7479425.5000 ,345410.6563 ,SUN
012410-21,1/24/2010  1:26:12 AM,SRN,2837 SW WESTERN BV,7476846.0000 ,337051.6875 ,SUN
012410-28,1/24/2010  1:59:10 AM,MUSIC,2365 SW LEONARD ST,7480055.0000 ,331827.3750 ,SUN
012410-32,1/24/2010  2:20:15 AM,PARTY,854 SW JEFFERSON AV,7480872.5000 ,339455.7188 ,SUN
012410-39,1/24/2010  2:45:00 AM,PARTY,1662 NW HARRISON BV,7479576.5000 ,342014.1563 ,SUN
012610-7,1/26/2010  12:47:37 AM,PARTY,NW 30TH ST AND NW FILLMORE AV,7476653.0000 ,343853.0000 ,TUE
012610-11,1/26/2010  1:16:23 AM,PARTY,3005 NW FILLMORE AV,7476633.0000 ,343866.7188 ,TUE
012710-197,1/27/2010  10:42:36 PM,MUSIC,6360 SW WEST HILLS RD,7466361.5000 ,337195.9063 ,WED
012810-7,1/28/2010  12:24:27 AM,SRN,804 NW 30TH ST,7476640.0000 ,343869.2500 ,THU
012810-17,1/28/2010  1:45:22 AM,PARTY,804 NW 30TH ST,7476640.0000 ,343869.2500 ,THU
012910-41,1/29/2010  2:57:44 AM,PARTY,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,FRI
012910-223,1/29/2010  9:40:24 PM,PARTY,4883 SW ASTER ST,7470611.0000 ,333376.1563 ,FRI
012910-256,1/29/2010  11:48:08 PM,MUSIC,437 NW 14TH ST,7480254.5000 ,341900.3125 ,FRI
012910-258,1/29/2010  11:55:43 PM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,FRI
012910-250,1/29/2010  11:37:42 PM,SRN,602 NW 12TH ST,7480926.0000 ,342281.7813 ,FRI
013010-20,1/30/2010  12:40:29 AM,PARTY,320 SW 10TH ST,7480444.5000 ,339555.1563 ,SAT
013110-25,1/31/2010  1:18:20 AM,PARTY,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SUN
013110-49,1/31/2010  3:50:09 AM,MUSIC,2671 NW GRANT AV,7477665.0000 ,344967.7500 ,SUN
020210-8,2/2/2010  1:28:07 AM,MUSIC,703 SW 15TH ST,7479192.0000 ,338395.5313 ,TUE
020410-231,2/4/2010  11:30:48 PM,SRN,114 NE CONIFER BV,7486150.5000 ,351294.5000 ,FRI
020510-29,2/5/2010  1:53:58 AM,PARTY,NW 14TH ST AND NW MONROE AV,7479772.0000 ,340714.0000 ,FRI
020510-252,2/5/2010  10:18:23 PM,PARTY,230 NW 15TH ST,7479728.5000 ,341286.3750 ,FRI
020510-260,2/5/2010  10:42:12 PM,PARTY,SW 8TH ST AND SW WESTERN BV,7480552.0000 ,338186.0000 ,FRI
020510-259,2/5/2010  10:40:28 PM,SRN,2501 NW GRANT AV,7478120.0000 ,344945.0000 ,FRI
020510-267,2/5/2010  11:08:42 PM,PARTY,816 SW 8TH ST,7480523.0000 ,338130.5000 ,FRI
020610-38,2/6/2010  1:34:00 AM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SAT
020610-53,2/6/2010  3:02:49 AM,PARTY,2001 NW MONROE AV,7479021.0000 ,341013.9688 ,SAT
020610-60,2/6/2010  5:05:46 AM,MUSIC,1375 SW A AV,7479500.5000 ,338454.3125 ,SAT
020610-221,2/6/2010  10:15:08 PM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SAT
020710-3,2/7/2010  12:06:53 AM,PARTY,3000 SE STERNWHEELER DR,7483446.0000 ,329069.1875 ,SUN
020710-37,2/7/2010  1:57:09 AM,MUSIC,1641 NW CIRCLE BV,7480121.0000 ,348264.6250 ,SUN
020710-50,2/7/2010  2:46:52 AM,PARTY,741 NW 29TH ST,7476998.5000 ,343644.5313 ,SUN
020710-145,2/7/2010  4:24:17 PM,PARTY,420 NW 9TH ST,7481482.5000 ,341349.1563 ,SUN
020710-221,2/7/2010  10:55:52 PM,MUSIC,300 SE GOODNIGHT AV,7481542.0000 ,329520.7500 ,SUN
020810-175,2/8/2010  5:39:38 PM,MUSIC,300 SE GOODNIGHT AV,7481542.0000 ,329520.7500 ,MON
020910-7,2/9/2010  12:43:37 AM,PARTY,315 NW 4TH ST,7482726.0000 ,340432.9063 ,TUE
021010-166,2/10/2010  6:46:27 PM,MUSIC,300 SE GOODNIGHT AV,7481542.0000 ,329520.7500 ,WED
021010-216,2/10/2010  11:26:37 PM,MUSIC,436 SW 5TH ST,7481638.0000 ,338600.9375 ,WED
021210-121,2/12/2010  2:35:21 PM,MUSIC,311 SW 2ND ST,7482662.0000 ,338712.0000 ,FRI
021310-10,2/13/2010  12:20:37 AM,PARTY,527 NW 23RD ST,7478420.5000 ,342820.9063 ,SAT
021310-8,2/13/2010  12:17:14 AM,SRN,1460 NW VAN BUREN AV,7479903.0000 ,341479.0313 ,SAT
021310-23,2/13/2010  1:00:14 AM,PARTY,629 NW 11TH ST,7481226.5000 ,342248.8750 ,SAT
021310-35,2/13/2010  2:05:53 AM,MUSIC,2464 NW GARRYANNA DR,7480986.5000 ,350081.8125 ,SAT
021310-166,2/13/2010  4:58:15 PM,MUSIC,600 NW 23RD ST,7478402.0000 ,343079.5000 ,SAT
021310-196,2/13/2010  8:18:40 PM,MUSIC,NW 23RD ST AND NW POLK AV,7478413.0000 ,343076.0000 ,SAT
021310-220,2/13/2010  10:06:57 PM,SRN,677 NW 23RD ST,7478428.0000 ,343334.3125 ,SAT
021310-243,2/13/2010  11:31:28 PM,PARTY,NW 33RD ST AND NW FILLMORE AV,7475800.0000 ,343888.0000 ,SAT
021410-25,2/14/2010  1:26:39 AM,MUSIC,550 NW HARRISON BV,7482630.0000 ,340805.9688 ,SUN
021410-30,2/14/2010  1:55:44 AM,SRN,619 NW 33RD ST,7475797.0000 ,343269.5313 ,SUN
021410-42,2/14/2010  3:44:35 AM,PARTY,1220 SW E AV,7479924.0000 ,337073.6875 ,SUN
021410-207,2/14/2010  9:38:26 PM,MUSIC,3335 NE OXFORD CR,7488432.0000 ,353196.0625 ,SUN
021410-215,2/14/2010  11:07:20 PM,SRN,2624 NW COOLIDGE WY,7477751.0000 ,344372.3438 ,SUN
021510-6,2/15/2010  12:16:59 AM,PARTY,970 NW GARFIELD AV,7482825.0000 ,346405.8438 ,MON
021610-212,2/16/2010  10:28:33 PM,SRN,2915 SW WESTERN BV,7476702.0000 ,337052.5000 ,TUE
021710-5,2/17/2010  12:20:44 AM,PARTY,2124 NW TYLER AV,7478694.5000 ,342674.6250 ,WED
021710-10,2/17/2010  1:00:22 AM,PARTY,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,WED
021710-212,2/17/2010  10:32:06 PM,SRN,2671 NW GRANT AV,7477665.0000 ,344967.7500 ,WED
021710-225,2/17/2010  11:51:31 PM,MUSIC,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,WED
021810-10,2/18/2010  12:35:50 AM,SRN,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,THU
021810-160,2/18/2010  6:13:27 PM,MUSIC,300 SE GOODNIGHT AV,7481542.0000 ,329520.7500 ,THU
021810-219,2/18/2010  11:35:03 PM,MUSIC,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,THU
021910-4,2/19/2010  12:06:47 AM,SRN,522 SE PARK AV,7481804.5000 ,330211.4375 ,FRI
021910-10,2/19/2010  12:24:24 AM,MUSIC,205 SW 2ND ST,7482813.0000 ,339088.1250 ,FRI
021910-22,2/19/2010  1:14:53 AM,PARTY,322 SW 10TH ST,7480442.0000 ,339548.3750 ,FRI
021910-99,2/19/2010  11:12:58 AM,MUSIC,1530 NW KINGS BV,7478969.5000 ,346131.2188 ,FRI
021910-281,2/19/2010  11:24:01 PM,PARTY,NW 25TH ST AND NW HARRISON BV,7478073.0000 ,342440.0000 ,FRI
021910-279,2/19/2010  11:19:42 PM,SRN,1113 NW 27TH ST,7477588.0000 ,344752.3125 ,FRI
021910-284,2/19/2010  11:25:45 PM,PARTY,1032 SW 10TH ST,7480321.0000 ,337318.6875 ,FRI
022010-8,2/20/2010  12:15:22 AM,SRN,634 NW 21ST ST,7478733.0000 ,343150.2188 ,SAT
022010-212,2/20/2010  9:02:08 PM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SAT
022010-228,2/20/2010  10:09:00 PM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SAT
022010-247,2/20/2010  10:59:27 PM,MUSIC,2494 NW GARRYANNA DR,7480995.5000 ,350310.8750 ,SAT
022010-255,2/20/2010  11:31:18 PM,PARTY,3280 NW JOHNSON AV,7475752.0000 ,341334.2813 ,SAT
022110-3,2/21/2010  12:03:16 AM,PARTY,110 NW 35TH ST,7475222.0000 ,341513.5313 ,SUN
022010-260,2/20/2010  11:50:55 PM,PARTY,523 NW KINGS BV,7479079.5000 ,342704.7500 ,SUN
022110-4,2/21/2010  12:05:22 AM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SUN
022110-1,2/21/2010  12:00:12 AM,PARTY,5264 SW TECHNOLOGY LP,7469350.0000 ,334606.5625 ,SUN
022110-50,2/21/2010  3:43:16 AM,PARTY,523 NW KINGS BV,7479079.5000 ,342704.7500 ,SUN
